CENTRO,TOTAL CENTRO,TITULACION,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,LICENCIADO EN ODONTOLOGÃA,219,Hombres,0,0,0,22,20,8,7,5,2,4,3,0,3,2,4,80
 , ,LICENCIADO EN ODONTOLOGÃA, ,Mujeres,0,0,0,47,55,15,5,3,2,2,3,0,3,3,1,139
FAC. PSICOLOGIA,2069,DIPLOMADO EN LOGOPEDIA,32,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
 , ,DIPLOMADO EN LOGOPEDIA, ,Mujeres,0,0,0,4,2,7,1,1,6,3,0,1,2,2,1,30
 , ,GRADO EN LOGOPEDIA,180,Hombres,3,2,8,4,1,0,2,2,0,0,0,0,0,0,1,23
 , ,GRADO EN LOGOPEDIA, ,Mujeres,18,29,27,24,17,15,7,3,0,1,3,2,6,1,4,157
 , ,GRADO EN PSICOLOGÃA,997,Hombres,46,48,75,44,36,29,9,5,3,5,5,3,4,1,10,323
 , ,GRADO EN PSICOLOGÃA, ,Mujeres,121,176,182,63,33,19,23,10,9,11,2,3,2,9,11,674
 , ,LICENCIADO EN PSICOLOGÃA,860,Hombres,0,2,4,34,47,34,24,12,12,7,6,1,9,7,9,208
 , ,LICENCIADO EN PSICOLOGÃA, ,Mujeres,0,0,1,142,160,101,70,44,26,24,19,11,19,16,19,652
FAC. TRADUCCIÃ“N INTERPRETACION,1661,GRADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N,1052,Hombres,44,50,106,71,35,22,15,6,9,4,2,5,11,1,9,390
 , ,GRADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N, ,Mujeres,170,169,170,49,25,17,11,11,8,4,4,2,11,5,6,662
 , ,LICENCIADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N,609,Hombres,0,0,2,30,25,20,8,11,7,5,6,7,13,5,11,150
 , ,LICENCIADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N, ,Mujeres,0,0,1,118,102,61,48,26,15,21,10,8,25,13,11,459
E.T.S. ARQUITECTURA,1647,ARQUITECTO,1155,Hombres,0,0,0,64,71,72,66,79,53,37,27,32,93,44,11,649
 , ,ARQUITECTO, ,Mujeres,0,0,0,42,58,67,71,77,47,38,28,21,49,5,3,506
 , ,GRADO EN ARQUITECTURA,492,Hombres,61,67,59,33,19,7,19,5,5,5,1,1,7,1,3,293
 , ,GRADO EN ARQUITECTURA, ,Mujeres,52,55,51,13,11,4,4,2,1,2,0,1,2,0,1,199
E.T.S. ING.INFORMÃT. Y TELEC.,2183,GRADO EN INGENIERÃA DE TECNOLOGÃAS DE TELECOMUNICACIÃ“N,345,Hombres,79,69,61,42,10,8,6,3,1,2,0,0,0,2,1,284
 , ,GRADO EN INGENIERÃA DE TECNOLOGÃAS DE TELECOMUNICACIÃ“N, ,Mujeres,14,18,14,9,2,0,0,1,0,1,0,0,2,0,0,61
 , ,GRADO EN INGENIERÃA INFORMÃTICA,884,Hombres,114,88,119,112,125,79,55,41,17,12,13,7,19,5,3,809
 , ,GRADO EN INGENIERÃA INFORMÃTICA, ,Mujeres,7,10,10,16,8,6,3,6,2,2,0,1,2,2,0,75
 , ,INGENIERO DE TELECOMUNICACIÃ“N,327,Hombres,0,0,1,25,55,56,56,22,17,12,7,3,2,1,0,257
 , ,INGENIERO DE TELECOMUNICACIÃ“N, ,Mujeres,0,0,0,13,18,17,8,8,2,2,1,0,1,0,0,70
 , ,INGENIERO EN INFORMÃTICA,357,Hombres,0,0,0,10,45,43,62,46,30,16,20,13,20,10,0,315
 , ,INGENIERO EN INFORMÃTICA, ,Mujeres,0,0,0,1,3,6,5,3,5,6,4,4,4,0,1,42
 , ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N,149,Hombres,0,0,1,2,5,8,11,16,16,14,16,8,19,8,0,124
 , ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N, ,Mujeres,0,0,0,0,1,6,8,3,1,0,1,1,3,0,1,25
 , ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE SISTEMAS,121,Hombres,0,0,0,3,5,21,8,24,8,9,6,3,8,9,2,106
E.T.S. ING.INFORMÃT. Y TELEC., ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE SISTEMAS, ,Mujeres,0,0,0,0,2,1,5,0,1,2,1,0,2,0,1,15
ETS CAMINOS CANALES Y PUERTOS,1592,GRADO EN INGENIERÃA CIVIL,707,Hombres,108,109,126,72,36,21,11,8,13,5,0,4,2,1,2,518
 , ,GRADO EN INGENIERÃA CIVIL, ,Mujeres,47,50,44,23,9,8,6,0,0,1,0,0,0,0,1,189
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS",885,Hombres,0,0,2,69,125,105,87,68,41,34,16,10,34,17,14,622
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS", ,Mujeres,0,0,1,30,40,48,39,29,26,22,4,7,9,6,2,263
E.T.S.I. DE EDIFICACIÃ“N,2090,ARQUITECTURA TÃ‰CNICA,946,Hombres,0,0,1,54,76,41,46,56,62,53,29,27,99,47,30,621
 , ,ARQUITECTURA TÃ‰CNICA, ,Mujeres,0,0,0,38,58,41,32,29,33,22,10,7,37,13,5,325
 , ,GRADO EN INGENIERÃA DE EDIFICACIÃ“N,1077,Hombres,52,92,124,122,82,68,35,32,26,20,8,13,31,12,10,727
 , ,GRADO EN INGENIERÃA DE EDIFICACIÃ“N, ,Mujeres,23,54,71,42,49,35,26,10,6,9,5,4,10,3,3,350
 , ,GRADO EN INGENIERIA EN EDIFICACIÃ“N (CURSO PUENTE),67,Hombres,0,0,0,3,4,5,2,2,5,1,2,0,4,1,0,29
 , ,GRADO EN INGENIERIA EN EDIFICACIÃ“N (CURSO PUENTE), ,Mujeres,0,0,0,6,8,5,5,1,3,5,0,0,4,1,0,38
FAC. COMUNICACIÃ“N Y DOCUMENTA.,660,DIPLOMADO EN BIBLIOTECONOMÃA Y DOCUMENTACIÃ“N,24,Hombres,0,0,0,1,1,1,1,0,0,0,1,1,4,0,1,11
 , ,DIPLOMADO EN BIBLIOTECONOMÃA Y DOCUMENTACIÃ“N, ,Mujeres,0,0,0,1,3,2,1,0,0,1,1,0,4,0,0,13
 , ,GRADO EN COMUNICACIÃ“N AUDIOVISUAL,226,Hombres,15,20,30,14,17,7,3,3,4,2,0,1,1,3,4,124
 , ,GRADO EN COMUNICACIÃ“N AUDIOVISUAL, ,Mujeres,26,37,19,3,5,2,3,2,3,1,0,0,0,1,0,102
 , ,GRADO EN INFORMACIÃ“N Y DOCUMENTACIÃ“N,228,Hombres,7,11,14,14,10,2,11,2,4,3,1,1,1,2,3,86
 , ,GRADO EN INFORMACIÃ“N Y DOCUMENTACIÃ“N, ,Mujeres,17,35,25,12,10,8,8,4,7,4,1,1,2,0,8,142
 , ,LICENCIADO EN COMUNICACIÃ“N AUDIOVISUAL,36,Hombres,0,0,0,0,1,0,1,3,3,2,1,1,3,0,2,17
 , ,LICENCIADO EN COMUNICACIÃ“N AUDIOVISUAL, ,Mujeres,0,0,0,0,0,1,2,2,3,2,3,0,6,0,0,19
 , ,LICENCIADO EN DOCUMENTACIÃ“N,146,Hombres,0,0,0,6,8,8,4,2,9,8,0,0,7,2,4,58
 , ,LICENCIADO EN DOCUMENTACIÃ“N, ,Mujeres,0,0,0,3,11,15,4,8,4,7,6,2,7,6,15,88
F. DE CIENCIAS DE LA SALUD,948,DIPLOMADO EN ENFERMERÃA,56,Hombres,0,0,0,4,0,0,2,0,0,0,0,1,2,3,0,12
 , ,DIPLOMADO EN ENFERMERÃA, ,Mujeres,0,0,0,5,4,2,4,2,4,2,1,2,7,4,7,44
 , ,DIPLOMADO EN FISIOTERAPIA,41,Hombres,0,0,0,2,5,2,1,3,1,2,0,2,3,1,2,24
 , ,DIPLOMADO EN FISIOTERAPIA, ,Mujeres,0,0,0,5,1,2,1,2,2,0,1,0,2,1,0,17
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL,27,Hombres,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,6
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL, ,Mujeres,0,0,0,4,2,4,3,4,0,2,0,1,1,0,0,21
 , ,GRADO EN ENFERMERÃA,486,Hombres,24,28,28,11,7,1,2,10,3,2,1,3,3,3,2,128
 , ,GRADO EN ENFERMERÃA, ,Mujeres,82,77,72,24,23,21,7,8,3,1,3,2,12,4,19,358
 , ,GRADO EN FISIOTERAPIA,163,Hombres,18,14,10,13,7,3,0,4,3,1,2,3,1,0,2,81
 , ,GRADO EN FISIOTERAPIA, ,Mujeres,17,21,19,3,8,1,1,3,1,1,3,0,0,2,2,82
 , ,GRADO EN TERAPIA OCUPACIONAL,175,Hombres,2,7,7,5,4,7,2,2,0,2,1,0,0,2,0,41
 , ,GRADO EN TERAPIA OCUPACIONAL, ,Mujeres,19,24,20,13,17,16,3,4,4,1,3,0,3,1,6,134
FAC. CIENCIAS DEL TRABAJO,1990,DIPLOMADO EN RELACIONES LABORALES,661,Hombres,0,0,0,20,29,30,27,40,17,11,16,11,17,13,9,240
 , ,DIPLOMADO EN RELACIONES LABORALES, ,Mujeres,0,0,0,30,52,63,56,42,26,31,16,13,47,31,14,421
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,997,Hombres,34,66,68,58,50,35,31,12,11,8,5,3,3,4,17,405
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS, ,Mujeres,70,82,158,77,63,34,26,19,16,11,2,0,11,5,18,592
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO,332,Hombres,0,0,0,3,11,15,16,16,6,4,6,3,6,6,12,104
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO, ,Mujeres,0,0,0,16,37,43,38,22,10,14,4,4,11,5,24,228
FACULTAD DE TRABAJO SOCIAL,664,DIPLOMADO EN TRABAJO SOCIAL,114,Hombres,0,0,0,3,3,4,4,2,5,0,3,2,5,2,3,36
 , ,DIPLOMADO EN TRABAJO SOCIAL, ,Mujeres,0,0,0,10,10,8,9,4,9,1,3,5,10,3,6,78
 , ,GRADO EN TRABAJO SOCIAL,550,Hombres,4,14,28,23,15,19,8,6,2,6,3,1,11,0,6,146
 , ,GRADO EN TRABAJO SOCIAL, ,Mujeres,47,67,101,39,40,33,17,13,7,7,9,5,4,2,13,404
FAC. EDUCACION HUMANIDAD.CEUTA,888,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",32,Hombres,0,0,0,0,0,2,6,3,2,1,1,0,1,0,0,16
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""", ,Mujeres,0,0,0,1,2,5,2,1,1,0,0,1,3,0,0,16
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (CEUTA),151,Hombres,6,7,9,7,11,7,6,4,1,4,0,4,4,0,5,75
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (CEUTA), ,Mujeres,9,10,11,8,6,11,4,1,1,1,0,1,4,3,6,76
 , ,GRADO EN EDUCACIÃ“N SOCIAL (CEUTA),116,Hombres,0,5,5,8,0,4,4,0,1,0,0,1,2,1,0,31
 , ,GRADO EN EDUCACIÃ“N SOCIAL (CEUTA), ,Mujeres,4,9,13,12,12,5,8,3,3,2,3,0,4,2,5,85
 , ,GRADO EN INGENIERÃA INFORMÃTICA (CEUTA),29,Hombres,1,3,5,5,2,2,1,1,0,0,0,0,3,1,1,25
 , ,GRADO EN INGENIERÃA INFORMÃTICA (CEUTA), ,Mujeres,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,4
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (CEUTA),138,Hombres,1,2,0,3,3,1,1,1,0,0,0,0,1,0,1,14
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (CEUTA), ,Mujeres,13,17,18,14,10,10,9,4,3,5,3,2,4,7,5,124
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (CEUTA),209,Hombres,5,15,16,11,11,1,9,6,1,2,1,0,6,0,3,87
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (CEUTA), ,Mujeres,18,22,32,17,4,6,1,5,1,2,0,0,6,5,3,122
 , ,"INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N ""CEUTA""",14,Hombres,0,0,0,0,0,1,1,2,1,2,0,1,2,1,0,11
 , ,"INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N ""CEUTA""", ,Mujeres,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""CEUTA""",25,Hombres,0,0,0,0,0,0,3,0,1,0,0,0,2,2,1,9
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""CEUTA""", ,Mujeres,0,0,0,0,0,0,1,2,0,0,0,2,6,2,3,16
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""CEUTA""",8,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""CEUTA""", ,Mujeres,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,7
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""CEUTA""",22,Hombres,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""CEUTA""", ,Mujeres,0,0,0,1,1,0,0,1,1,0,3,1,7,5,0,20
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""CEUTA""",55,Hombres,0,0,0,4,6,5,4,4,5,1,2,1,5,6,1,44
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""CEUTA""", ,Mujeres,0,0,0,0,1,2,2,1,0,1,0,0,3,1,0,11
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""CEUTA""",46,Hombres,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""CEUTA""", ,Mujeres,0,0,0,3,3,1,4,6,3,6,1,3,7,4,1,42
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""CEUTA""",8,Hombres,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""CEUTA""", ,Mujeres,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""CEUTA""",25,Hombres,0,0,0,0,1,0,1,0/td> ,0,0,0,0,0,2,1,5
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""CEUTA""", ,Mujeres,0,0,0,1,2,2,2,0,2,0,0,1,4,4,2,20
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",10,Hombres,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""", ,Mujeres,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,8
FAC. EDUCACION HUMANID.MELILLA,581,GRADO EN EDUCACIÃ“N SOCIAL (MELILLA),95,Hombres,3,3,5,3,0,2,0,1,0,0,0,0,1,0,0,18
 , ,GRADO EN EDUCACIÃ“N SOCIAL (MELILLA), ,Mujeres,19,11,15,12,5,10,1,1,1,0,0,0,1,0,1,77
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (MELILLA),87,Mujeres,4,11,19,9,10,4,6,2,0,2,3,3,3,4,1,81
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (MELILLA), ,Hombres,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,6
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (MELILLA),178,Mujeres,20,25,32,6,7,3,2,0,4,0,0,0,6,2,2,109
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (MELILLA), ,Hombres,9,17,16,9,8,0,2,0,1,1,1,0,3,1,1,69
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""MELILLA""",72,Mujeres,0,0,0,1,6,5,11,7,3,2,0,2,5,8,3,53
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""MELILLA""", ,Hombres,0,0,0,0,0,1,2,3,2,0,2,0,6,0,3,19
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""MELILLA""",9,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""MELILLA""", ,Mujeres,0,0,0,0,0,2,0,1,1,1,0,0,2,1,0,8
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""MELILLA""",9,Hombres,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""MELILLA""", ,Mujeres,0,0,0,0,0,1,2,0,1,1,0,0,3,0,0,8
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""MELILLA""",22,Hombres,0,0,0,2,2,2,3,2,0,1,1,1,2,1,0,17
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""MELILLA""", ,Mujeres,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,5
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""MELILLA""",26,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""MELILLA""", ,Mujeres,0,0,0,0,2,3,2,2,1,5,2,0,4,2,2,25
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""MELILLA""",3,Mujeres,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""MELILLA""", ,Hombres,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""MELILLA""",66,Mujeres,0,0,0,7,7,8,4,5,2,1,1,3,6,3,3,50
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""MELILLA""", ,Hombres,0,0,0,2,4,2,2,2,0,0,0,0,2,0,2,16
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",14,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""", ,Mujeres,0,0,0,2,1,0,1,0,2,2,1,2,0,1,0,12
F. CC SOCIALES DE MELILLA,346,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",51,Hombres,0,0,0,0,1,2,2,2,3,3,0,1,6,1,2,23
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""", ,Mujeres,0,0,0,2,6,7,0,5,1,1,0,0,3,2,1,28
 , ,"DIPLOMADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA ""MELILLA""",7,Hombres,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
 , ,"DIPLOMADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA ""MELILLA""", ,Mujeres,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,5
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",17,Hombres,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,5
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""", ,Mujeres,0,0,0,0,2,1,0,1,0,3,1,2,0,1,1,12
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (MELILLA),182,Hombres,12,14,22,10,14,7,2,4,1,2,3,1,3,4,3,102
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (MELILLA), ,Mujeres,13,7,13,10,4,8,6,2,5,0,1,2,4,0,5,80
 , ,GRADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA (MELILLA),28,Hombres,0,1,1,1,1,1,0,0,0,1,0,1,2,0,6,15
 , ,GRADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA (MELILLA), ,Mujeres,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6,13
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),61,Hombres,1,1,2,0,0,0,1,1,2,1,0,0,1,3,7,20
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA), ,Mujeres,3,2,9,2,1,1,2,2,1,0,2,0,2,8,6,41
F. DE ENFERMERÃA DE MELILLA,203,"DIPLOMADO EN ENFERMERÃA ""MELILLA""",21,Hombres,0,0,0,0,3,0,1,0,0,0,1,0,0,1,1,7
 , ,"DIPLOMADO EN ENFERMERÃA ""MELILLA""", ,Mujeres,0,0,0,5,2,2,0,0,3,0,0,0,1,0,1,14
 , ,GRADO EN ENFERMERÃA (MELILLA),182,Hombres,1,16,4,11,5,0,5,0,4,2,0,0,2,1,2,53
 , ,GRADO EN ENFERMERÃA (MELILLA), ,Mujeres,19,20,19,10,14,9,12,4,1,5,3,1,4,3,5,129
F. DE CC. DE LA SALUD CEUTA,447,"DIPLOMADO EN ENFERMERÃA ""CEUTA""",86,Hombres,0,0,0,4,3,0,3,2,1,1,2,1,2,3,3,25
 , ,"DIPLOMADO EN ENFERMERÃA ""CEUTA""", ,Mujeres,0,0,0,6,4,5,9,4,7,6,3,5,5,1,6,61
 , ,GRADO EN ENFERMERÃA (CEUTA),361,Hombres,14,18,11,7,17,5,8,3,3,2,3,3,3,1,3,101
 , ,GRADO EN ENFERMERÃA (CEUTA), ,Mujeres,36,38,48,28,29,32,8,9,6,7,4,2,7,3,3,260
CENTRO MAGISTERIO INMACULADA,1024,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (LA INMACULADA),335,Hombres,2,2,10,4,4,3,0,0,1,0,0,1,2,1,0,30
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (LA INMACULADA), ,Mujeres,26,57,73,52,33,16,14,8,2,4,1,2,10,3,4,305
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (LA INMACULADA),541,Hombres,15,47,57,54,27,17,8,7,3,4,4,2,5,2,2,254
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (LA INMACULADA), ,Mujeres,28,55,73,45,26,12,17,3,6,6,1,1,3,6,5,287
 , ,MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE (LA INMACULADA),9,Hombres,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
 , ,MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE (LA INMACULADA), ,Mujeres,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,6
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL (LA INMACULADA),13,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL (LA INMACULADA), ,Mujeres,0,0,0,1,3,2,2,2,1,0,1,0,0,1,0,13
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA (LA INMACULADA),34,Hombres,0,0,0,4,4,3,7,2,2,2,1,2,3,1,0,31
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA (LA INMACULADA), ,Mujeres,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL (LA INMACULADA),32,Hombres,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL (LA INMACULADA), ,Mujeres,0,0,0,2,4,3,4,2,4,1,0,0,4,2,2,28
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL (LA INMACULADA),16,Hombres,0,0,0,1,4,0,0,0,1,1,2,0,1,1,0,11
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL (LA INMACULADA), ,Mujeres,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,5
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA (LA INMACULADA),30,Hombres,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,9
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA (LA INMACULADA), ,Mujeres,0,0,0,6,4,2,0,2,4,0,1,0,2,0,0,21
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA),14,Hombres,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,7
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA), ,Mujeres,0,0,0,1,0,2,1,0,0,0,0,1,0,1,1,7
"CENTRO DE ENFERMERÃA ""VIRGEN""",118,DIPLOMADO EN ENFERMERÃA (VIRGEN DE LAS NIEVES),8,Hombres,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
 , ,DIPLOMADO EN ENFERMERÃA (VIRGEN DE LAS NIEVES), ,Mujeres,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,5
 , ,GRADO EN ENFERMERÃA (VIRGEN DE LA NIEVES),110,Hombres,0,4,4,5,4,1,1,2,1,0,2,0,0,1,2,27
 , ,GRADO EN ENFERMERÃA (VIRGEN DE LA NIEVES), ,Mujeres,0,16,15,9,13,8,3,1,1,5,0,2,4,0,6,83
FACS. EMPRESARIALES Y DERECHO,905,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS Y DERECHO,407,Hombres,56,42,47,8,1,1,2,0,0,0,0,1,0,1,1,160
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS Y DERECHO, ,Mujeres,84,80,72,4,3,0,0,0,1,1,0,1,0,0,1,247
 , ,LDO. EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS Y DERECHO,498,Hombres,0,0,0,35,38,41,27,14,7,5,5,3,1,0,0,176
 , ,LDO. EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS Y DERECHO, ,Mujeres,0,0,0,75,83,58,53,24,12,9,6,1,0,1,0,322
FACS. CC. POLÃTICAS Y DERECHO,551,GRADO EN CIENCIAS POLÃTICAS Y DE LA ADMINISTRACIÃ“N Y DERECHO,325,Hombres,45,46,34,12,10,5,2,1,1,0,1,0,0,1,0,158
 , ,GRADO EN CIENCIAS POLÃTICAS Y DE LA ADMINISTRACIÃ“N Y DERECHO, ,Mujeres,55,45,41,13,6,1,1,2,0,1,0,0,0,0,2,167
 , ,LICENCIADO EN CIENCIAS POLÃTICAS Y DE LA ADMON. Y DERECHO,226,Hombres,0,0,0,16,26,19,11,8,7,4,2,2,0,0,0,95
