CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , , , ,Mujer,3122,3591,3964,3832,3638,2974,2169,1637,1152,846,606,469,1444,597,747,30788
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
 , ,GRADO EN BELLAS ARTES, ,Mujer,54,29,12,10,5,6,3,5,5,3,3,1,7,4,12,159
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES, ,Mujer,9,8,3,1,1,3,4,5,0,2,1,0,2,0,2,41
 , ,LICENCIADO EN BELLAS ARTES, ,Mujer,0,72,85,83,93,70,48,30,17,16,8,6,23,13,39,603
 , ,DIPLOMADO EN ESTADÍSTICA, ,Mujer,0,3,5,2,2,6,4,0,1,2,1,1,5,3,2,37
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,0,48,62,48,33,18,11,12,3,4,2,0,15,2,0,258
 , ,GRADO EN BIOLOGÍA, ,Mujer,88,30,13,7,3,2,0,1,2,0,3,0,1,0,0,150
 , ,GRADO EN BIOQUÍMICA, ,Mujer,33,1,0,0,0,0,0,0,0,2,1,0,0,0,0,37
 , ,GRADO EN CIENCIAS AMBIENTALES, ,Mujer,35,9,7,5,1,2,0,0,0,0,0,0,0,0,0,59
 , ,GRADO EN ESTADÍSTICA, ,Mujer,7,6,4,0,0,0,0,1,0,0,0,0,0,0,0,18
 , ,GRADO EN FÍSICA, ,Mujer,16,9,0,1,0,0,0,0,0,0,0,0,0,0,0,26
 , ,GRADO EN GEOLOGÍA, ,Mujer,10,6,3,0,1,0,0,0,0,0,0,0,1,1,0,22
 , ,GRADO EN INGENIERÍA QUÍMICA, ,Mujer,41,12,1,0,1,0,0,0,0,0,0,0,1,0,0,56
 , ,GRADO EN MATEMÁTICAS, ,Mujer,43,2,1,3,2,0,0,0,0,0,0,0,0,0,0,51
 , ,GRADO EN QUÍMICA, ,Mujer,33,9,3,1,1,0,0,0,0,1,0,0,0,0,0,48
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,56,13,7,2,4,1,1,0,1,0,0,0,2,1,0,88
 , ,INGENIERO EN ELECTRÓNICA, ,Mujer,0,0,0,0,1,1,3,5,0,1,0,0,3,0,0,14
 , ,INGENIERO QUÍMICO, ,Mujer,0,25,28,24,22,26,25,19,14,16,10,3,8,2,1,223
 , ,LICENCIADO EN BIOLOGÍA, ,Mujer,0,70,82,84,85,80,54,36,38,19,16,19,27,8,4,622
 , ,LICENCIADO EN BIOQUÍMICA, ,Mujer,0,0,0,5,5,14,3,6,2,1,1,3,1,1,3,45
 , ,LICENCIADO EN CIENCIAS AMBIENTALES, ,Mujer,0,25,32,55,39,33,36,38,29,15,4,5,9,1,1,322
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS, ,Mujer,0,0,0,0,3,3,0,0,2,0,1,4,4,5,0,22
 , ,LICENCIADO EN FÍSICA, ,Mujer,0,16,7,15,18,8,8,8,5,2,3,3,7,0,0,100
 , ,LICENCIADO EN GEOLOGÍA, ,Mujer,0,5,10,2,6,6,6,4,3,2,3,2,7,0,0,56
 , ,LICENCIADO EN MATEMÁTICAS, ,Mujer,1,18,21,16,13,9,10,4,6,3,1,2,4,2,1,111
 , ,LICENCIADO EN QUÍMICA, ,Mujer,0,8,24,15,13,21,11,17,14,12,11,7,35,7,0,195
 , ,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,21,2,6,4,1,2,1,1,0,0,0,0,0,0,0,38
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,0,34,24,26,53,33,17,10,8,6,5,1,3,2,0,222
 , ,DIPLOMADO EN EDUCACIÓN SOCIAL, ,Mujer,0,24,29,19,15,11,17,7,10,9,3,6,5,3,4,162
 , ,GRADO EN EDUCACIÓN SOCIAL, ,Mujer,27,4,14,20,11,4,5,3,4,2,0,2,1,0,2,99
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL, ,Mujer,95,32,21,38,33,13,7,4,6,9,1,2,15,2,7,285
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA, ,Mujer,178,56,33,34,29,10,10,5,5,4,5,4,12,4,4,393
 , ,GRADO EN PEDAGOGÍA, ,Mujer,50,26,15,7,2,1,1,0,1,0,1,0,2,0,2,108
 , ,LICENCIADO EN PEDAGOGÍA, ,Mujer,0,46,84,107,123,94,67,42,21,16,15,3,20,8,13,659
 , ,LICENCIADO EN PSICOPEDAGOGÍA, ,Mujer,0,0,0,70,88,55,48,44,19,23,14,11,51,25,17,465
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE, ,Mujer,0,14,25,25,39,17,10,13,6,7,8,4,12,9,2,191
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL, ,Mujer,0,21,30,20,26,24,14,10,12,6,1,4,9,2,1,180
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA, ,Mujer,0,13,30,11,12,8,10,10,6,3,2,3,6,1,1,116
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL, ,Mujer,0,69,90,53,34,31,34,22,14,12,10,7,24,7,11,418
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL, ,Mujer,0,16,24,30,9,10,8,4,4,5,3,3,7,4,0,127
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA, ,Mujer,2,91,107,69,48,45,48,27,16,13,12,9,26,7,8,528
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA, ,Mujer,0,34,53,50,51,27,23,17,9,7,5,7,17,13,10,323
 , ,DIPLOMADO EN CIENCIAS EMPRESARIALES, ,Mujer,0,56,101,80,93,81,51,43,36,30,29,12,45,13,17,687
 , ,DIPLOMADO EN TURISMO, ,Mujer,0,35,77,74,54,41,25,13,20,15,10,8,13,3,2,390
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,119,18,12,11,4,2,0,1,0,1,0,0,1,1,1,171
 , ,GRADO EN ECONOMÍA, ,Mujer,71,25,3,4,3,2,1,0,0,0,0,0,0,0,0,109
 , ,GRADO EN FINANZAS Y CONTABILIDAD, ,Mujer,27,11,8,9,5,8,2,3,2,0,0,0,0,0,0,75
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS, ,Mujer,40,8,8,3,0,3,3,1,1,0,0,0,0,0,1,68
 , ,GRADO EN TURISMO, ,Mujer,45,22,7,5,7,5,3,1,1,2,0,1,1,0,2,102
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,0,131,146,162,176,146,105,61,38,30,17,20,42,12,8,1094
 , ,LICENCIADO EN ECONOMÍA, ,Mujer,1,64,95,101,96,83,62,41,45,38,12,7,30,2,3,680
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO, ,Mujer,0,0,0,1,16,20,24,13,12,7,4,4,6,3,1,111
 , ,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,34,22,6,4,3,1,1,0,0,0,0,0,0,0,3,74
 , ,GRADO EN SOCIOLOGÍA, ,Mujer,36,22,10,3,4,2,1,1,0,0,0,0,0,0,5,84
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,0,6,17,24,20,19,16,15,7,4,5,2,23,14,9,181
 , ,LICENCIADO EN SOCIOLOGÍA, ,Mujer,0,18,17,33,32,24,31,24,15,8,7,1,17,4,8,239
 , ,GRADO EN DERECHO, ,Mujer,181,47,14,4,5,1,1,2,0,3,1,0,3,2,5,269
 , ,LICENCIADO EN DERECHO, ,Mujer,0,189,190,223,210,143,102,82,52,40,31,25,59,40,73,1459
 , ,LICENCIATURA EN DERECHO, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,0,26,30,26,23,19,12,17,16,5,0,2,11,2,5,194
 , ,GRADO EN FARMACIA, ,Mujer,165,26,10,8,7,3,0,4,2,0,1,1,3,0,2,232
 , ,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,42,4,4,5,5,2,4,2,1,0,0,0,2,2,2,75
 , ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,Mujer,0,0,0,22,27,32,15,14,18,4,3,4,18,8,7,172
 , ,LICENCIADO EN FARMACIA, ,Mujer,1,156,164,183,198,184,130,102,77,59,52,42,110,35,28,1521
 , ,GRADO EN ESTUDIOS FRANCESES, ,Mujer,26,11,8,1,1,1,1,2,1,0,0,0,1,2,1,56
 , ,GRADO EN ESTUDIOS INGLESES, ,Mujer,66,13,7,1,0,0,0,0,1,0,3,1,2,0,0,94
 , ,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS, ,Mujer,3,6,5,2,2,2,1,0,0,0,1,0,1,0,1,24
 , ,GRADO EN FILOLOGÍA CLÁSICA, ,Mujer,12,3,3,1,0,0,0,0,0,0,0,0,1,0,0,20
 , ,GRADO EN FILOLOGÍA HISPÁNICA, ,Mujer,29,11,6,2,0,2,1,0,0,0,1,0,0,0,0,52
 , ,GRADO EN FILOSOFÍA, ,Mujer,14,3,3,0,1,1,1,0,0,1,0,0,0,0,0,24
 , ,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO, ,Mujer,4,5,2,1,0,1,1,0,0,0,0,0,1,0,1,16
 , ,GRADO EN HISTORIA, ,Mujer,16,10,3,5,2,0,1,0,0,0,0,1,0,1,5,44
