CENTRO,TOTAL CENTRO,TITULACION,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,LICENCIADO EN FILOLOGÃA ROMÃNICA,8,Hombres,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
 , ,LICENCIADO EN FILOSOFÃA,146,Hombres,0,0,1,7,20,16,14,9,3,6,3,2,9,2,7,99
 , ,LICENCIADO EN GEOGRAFÃA,73,Hombres,0,0,0,7,13,5,5,8,2,2,3,0,2,0,4,51
 , ,LICENCIADO EN HISTORIA,328,Hombres,0,0,0,44,44,36,28,12,9,8,6,2,14,5,12,220
 , ,LICENCIADO EN HISTORIA DEL ARTE,277,Hombres,0,0,1,9,17,9,12,10,5,4,3,5,10,10,7,102
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,60,Hombres,0,0,2,4,2,2,2,2,2,3,0,2,9,2,1,33
 , ,LICENCIADO EN TEORÃA DE LA LITERATURA Y LITERATURA COMPARADA,36,Hombres,0,0,0,0,0,0,1,1,0,1,0,1,6,2,2,14
FAC. MEDICINA,1742,GRADO EN MEDICINA,760,Hombres,78,74,84,8,5,2,2,2,3,4,0,2,2,5,7,278
 , ,LICENCIADO EN MEDICINA,982,Hombres,0,1,2,96,90,85,30,18,6,7,7,8,19,12,21,402
FAC. ODONTOLOGÃA,463,GRADO EN ODONTOLOGÃA,244,Hombres,9,23,16,12,5,6,2,8,1,0,3,0,5,3,1,94
 , ,LICENCIADO EN ODONTOLOGÃA,219,Hombres,0,0,0,22,20,8,7,5,2,4,3,0,3,2,4,80
FAC. PSICOLOGIA,2069,DIPLOMADO EN LOGOPEDIA,32,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
 , ,GRADO EN LOGOPEDIA,180,Hombres,3,2,8,4,1,0,2,2,0,0,0,0,0,0,1,23
 , ,GRADO EN PSICOLOGÃA,997,Hombres,46,48,75,44,36,29,9,5,3,5,5,3,4,1,10,323
 , ,LICENCIADO EN PSICOLOGÃA,860,Hombres,0,2,4,34,47,34,24,12,12,7,6,1,9,7,9,208
FAC. TRADUCCIÃ“N INTERPRETACION,1661,GRADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N,1052,Hombres,44,50,106,71,35,22,15,6,9,4,2,5,11,1,9,390
 , ,LICENCIADO EN TRADUCCIÃ“N E INTERPRETACIÃ“N,609,Hombres,0,0,2,30,25,20,8,11,7,5,6,7,13,5,11,150
E.T.S. ARQUITECTURA,1647,ARQUITECTO,1155,Hombres,0,0,0,64,71,72,66,79,53,37,27,32,93,44,11,649
 , ,GRADO EN ARQUITECTURA,492,Hombres,61,67,59,33,19,7,19,5,5,5,1,1,7,1,3,293
E.T.S. ING.INFORMÃT. Y TELEC.,2183,GRADO EN INGENIERÃA DE TECNOLOGÃAS DE TELECOMUNICACIÃ“N,345,Hombres,79,69,61,42,10,8,6,3,1,2,0,0,0,2,1,284
 , ,GRADO EN INGENIERÃA INFORMÃTICA,884,Hombres,114,88,119,112,125,79,55,41,17,12,13,7,19,5,3,809
 , ,INGENIERO DE TELECOMUNICACIÃ“N,327,Hombres,0,0,1,25,55,56,56,22,17,12,7,3,2,1,0,257
 , ,INGENIERO EN INFORMÃTICA,357,Hombres,0,0,0,10,45,43,62,46,30,16,20,13,20,10,0,315
 , ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N,149,Hombres,0,0,1,2,5,8,11,16,16,14,16,8,19,8,0,124
 , ,INGENIERO TÃ‰CNICO EN INFORMÃTICA DE SISTEMAS,121,Hombres,0,0,0,3,5,21,8,24,8,9,6,3,8,9,2,106
ETS CAMINOS CANALES Y PUERTOS,1592,GRADO EN INGENIERÃA CIVIL,707,Hombres,108,109,126,72,36,21,11,8,13,5,0,4,2,1,2,518
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS",885,Hombres,0,0,2,69,125,105,87,68,41,34,16,10,34,17,14,622
E.T.S.I. DE EDIFICACIÃ“N,2090,ARQUITECTURA TÃ‰CNICA,946,Hombres,0,0,1,54,76,41,46,56,62,53,29,27,99,47,30,621
 , ,GRADO EN INGENIERÃA DE EDIFICACIÃ“N,1077,Hombres,52,92,124,122,82,68,35,32,26,20,8,13,31,12,10,727
 , ,GRADO EN INGENIERIA EN EDIFICACIÃ“N (CURSO PUENTE),67,Hombres,0,0,0,3,4,5,2,2,5,1,2,0,4,1,0,29
FAC. COMUNICACIÃ“N Y DOCUMENTA.,660,DIPLOMADO EN BIBLIOTECONOMÃA Y DOCUMENTACIÃ“N,24,Hombres,0,0,0,1,1,1,1,0,0,0,1,1,4,0,1,11
 , ,GRADO EN COMUNICACIÃ“N AUDIOVISUAL,226,Hombres,15,20,30,14,17,7,3,3,4,2,0,1,1,3,4,124
 , ,GRADO EN INFORMACIÃ“N Y DOCUMENTACIÃ“N,228,Hombres,7,11,14,14,10,2,11,2,4,3,1,1,1,2,3,86
 , ,LICENCIADO EN COMUNICACIÃ“N AUDIOVISUAL,36,Hombres,0,0,0,0,1,0,1,3,3,2,1,1,3,0,2,17
 , ,LICENCIADO EN DOCUMENTACIÃ“N,146,Hombres,0,0,0,6,8,8,4,2,9,8,0,0,7,2,4,58
F. DE CIENCIAS DE LA SALUD,948,DIPLOMADO EN ENFERMERÃA,56,Hombres,0,0,0,4,0,0,2,0,0,0,0,1,2,3,0,12
 , ,DIPLOMADO EN FISIOTERAPIA,41,Hombres,0,0,0,2,5,2,1,3,1,2,0,2,3,1,2,24
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL,27,Hombres,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,6
 , ,GRADO EN ENFERMERÃA,486,Hombres,24,28,28,11,7,1,2,10,3,2,1,3,3,3,2,128
 , ,GRADO EN FISIOTERAPIA,163,Hombres,18,14,10,13,7,3,0,4,3,1,2,3,1,0,2,81
 , ,GRADO EN TERAPIA OCUPACIONAL,175,Hombres,2,7,7,5,4,7,2,2,0,2,1,0,0,2,0,41
FAC. CIENCIAS DEL TRABAJO,1990,DIPLOMADO EN RELACIONES LABORALES,661,Hombres,0,0,0,20,29,30,27,40,17,11,16,11,17,13,9,240
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,997,Hombres,34,66,68,58,50,35,31,12,11,8,5,3,3,4,17,405
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO,332,Hombres,0,0,0,3,11,15,16,16,6,4,6,3,6,6,12,104
FACULTAD DE TRABAJO SOCIAL,664,DIPLOMADO EN TRABAJO SOCIAL,114,Hombres,0,0,0,3,3,4,4,2,5,0,3,2,5,2,3,36
 , ,GRADO EN TRABAJO SOCIAL,550,Hombres,4,14,28,23,15,19,8,6,2,6,3,1,11,0,6,146
FAC. EDUCACION HUMANIDAD.CEUTA,888,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",32,Hombres,0,0,0,0,0,2,6,3,2,1,1,0,1,0,0,16
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (CEUTA),151,Hombres,6,7,9,7,11,7,6,4,1,4,0,4,4,0,5,75
 , ,GRADO EN EDUCACIÃ“N SOCIAL (CEUTA),116,Hombres,0,5,5,8,0,4,4,0,1,0,0,1,2,1,0,31
 , ,GRADO EN INGENIERÃA INFORMÃTICA (CEUTA),29,Hombres,1,3,5,5,2,2,1,1,0,0,0,0,3,1,1,25
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (CEUTA),138,Hombres,1,2,0,3,3,1,1,1,0,0,0,0,1,0,1,14
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (CEUTA),209,Hombres,5,15,16,11,11,1,9,6,1,2,1,0,6,0,3,87
 , ,"INGENIERO TÃ‰CNICO EN INFORMÃTICA DE GESTIÃ“N ""CEUTA""",14,Hombres,0,0,0,0,0,1,1,2,1,2,0,1,2,1,0,11
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""CEUTA""",25,Hombres,0,0,0,0,0,0,3,0,1,0,0,0,2,2,1,9
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""CEUTA""",8,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""CEUTA""",22,Hombres,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""CEUTA""",55,Hombres,0,0,0,4,6,5,4,4,5,1,2,1,5,6,1,44
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""CEUTA""",46,Hombres,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""CEUTA""",8,Hombres,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""CEUTA""",25,Hombres,0,0,0,0,1,0,1,0/td> ,0,0,0,0,0,2,1,5
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",10,Hombres,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
FAC. EDUCACION HUMANID.MELILLA,581,GRADO EN EDUCACIÃ“N SOCIAL (MELILLA),95,Hombres,3,3,5,3,0,2,0,1,0,0,0,0,1,0,0,18
 , ,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (MELILLA), ,Hombres,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,6
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (MELILLA), ,Hombres,9,17,16,9,8,0,2,0,1,1,1,0,3,1,1,69
 , ,"LICENCIADO EN PSICOPEDAGOGÃA ""MELILLA""", ,Hombres,0,0,0,0,0,1,2,3,2,0,2,0,6,0,3,19
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE ""MELILLA""",9,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL ""MELILLA""",9,Hombres,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA ""MELILLA""",22,Hombres,0,0,0,2,2,2,3,2,0,1,1,1,2,1,0,17
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL ""MELILLA""",26,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL ""MELILLA""", ,Hombres,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA ""MELILLA""", ,Hombres,0,0,0,2,4,2,2,2,0,0,0,0,2,0,2,16
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",14,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
F. CC SOCIALES DE MELILLA,346,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",51,Hombres,0,0,0,0,1,2,2,2,3,3,0,1,6,1,2,23
 , ,"DIPLOMADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA ""MELILLA""",7,Hombres,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",17,Hombres,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,5
 , ,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS (MELILLA),182,Hombres,12,14,22,10,14,7,2,4,1,2,3,1,3,4,3,102
 , ,GRADO EN GESTIÃ“N Y ADMINISTRACIÃ“N PÃšBLICA (MELILLA),28,Hombres,0,1,1,1,1,1,0,0,0,1,0,1,2,0,6,15
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),61,Hombres,1,1,2,0,0,0,1,1,2,1,0,0,1,3,7,20
F. DE ENFERMERÃA DE MELILLA,203,"DIPLOMADO EN ENFERMERÃA ""MELILLA""",21,Hombres,0,0,0,0,3,0,1,0,0,0,1,0,0,1,1,7
 , ,GRADO EN ENFERMERÃA (MELILLA),182,Hombres,1,16,4,11,5,0,5,0,4,2,0,0,2,1,2,53
F. DE CC. DE LA SALUD CEUTA,447,"DIPLOMADO EN ENFERMERÃA ""CEUTA""",86,Hombres,0,0,0,4,3,0,3,2,1,1,2,1,2,3,3,25
 , ,GRADO EN ENFERMERÃA (CEUTA),361,Hombres,14,18,11,7,17,5,8,3,3,2,3,3,3,1,3,101
CENTRO MAGISTERIO INMACULADA,1024,GRADO EN MAESTRO DE EDUCACIÃ“N INFANTIL (LA INMACULADA),335,Hombres,2,2,10,4,4,3,0,0,1,0,0,1,2,1,0,30
 , ,GRADO EN MAESTRO EN EDUCACIÃ“N PRIMARIA (LA INMACULADA),541,Hombres,15,47,57,54,27,17,8,7,3,4,4,2,5,2,2,254
 , ,MAESTRO ESPECIALIDAD DE AUDICIÃ“N Y LENGUAJE (LA INMACULADA),9,Hombres,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N ESPECIAL (LA INMACULADA),13,Hombres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N FÃSICA (LA INMACULADA),34,Hombres,0,0,0,4,4,3,7,2,2,2,1,2,3,1,0,31
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N INFANTIL (LA INMACULADA),32,Hombres,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N MUSICAL (LA INMACULADA),16,Hombres,0,0,0,1,4,0,0,0,1,1,2,0,1,1,0,11
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÃ“N PRIMARIA (LA INMACULADA),30,Hombres,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,9
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA),14,Hombres,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,7
"CENTRO DE ENFERMERÃA ""VIRGEN""",118,DIPLOMADO EN ENFERMERÃA (VIRGEN DE LAS NIEVES),8,Hombres,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3
 , ,GRADO EN ENFERMERÃA (VIRGEN DE LA NIEVES),110,Hombres,0,4,4,5,4,1,1,2,1,0,2,0,0,1,2,27
FACS. EMPRESARIALES Y DERECHO,905,GRADO EN ADMINISTRACIÃ“N Y DIRECCIÃ“N DE EMPRESAS Y DERECHO,407,Hombres,56,42,47,8,1,1,2,0,0,0,0,1,0,1,1,160
