CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
Universidad de Granada,56469,, ,Hombre,2092,2390,3144,3250,3073,2592,1949,1488,1131,797,649,482,1396,556,692,25681
 , , , ,Mujer,3122,3591,3964,3832,3638,2974,2169,1637,1152,846,606,469,1444,597,747,30788
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
FAC. BELLAS ARTES,1328,GRADO EN BELLAS ARTES,229,Hombre,11,13,8,10,5,4,2,2,4,0,0,1,3,2,5,70
 , ,GRADO EN BELLAS ARTES, ,Mujer,54,29,12,10,5,6,3,5,5,3,3,1,7,4,12,159
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,53,Hombre,2,1,2,0,0,0,0,1,0,0,0,1,2,1,2,12
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES, ,Mujer,9,8,3,1,1,3,4,5,0,2,1,0,2,0,2,41
 , ,LICENCIADO EN BELLAS ARTES,1046,Hombre,1,23,52,61,72,47,35,30,20,14,9,15,33,6,25,443
 , ,LICENCIADO EN BELLAS ARTES, ,Mujer,0,72,85,83,93,70,48,30,17,16,8,6,23,13,39,603
FAC. CIENCIAS,5325,DIPLOMADO EN ESTADÍSTICA,65,Hombre,0,3,0,2,3,2,3,1,2,0,4,0,2,4,2,28
 , ,DIPLOMADO EN ESTADÍSTICA, ,Mujer,0,3,5,2,2,6,4,0,1,2,1,1,5,3,2,37
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,386,Hombre,0,8,16,19,19,10,10,8,7,5,7,3,8,3,5,128
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,0,48,62,48,33,18,11,12,3,4,2,0,15,2,0,258
 , ,GRADO EN BIOLOGÍA,286,Hombre,66,26,10,11,6,4,3,4,2,0,0,0,2,0,2,136
 , ,GRADO EN BIOLOGÍA, ,Mujer,88,30,13,7,3,2,0,1,2,0,3,0,1,0,0,150
 , ,GRADO EN BIOQUÍMICA,57,Hombre,17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,20
 , ,GRADO EN BIOQUÍMICA, ,Mujer,33,1,0,0,0,0,0,0,0,2,1,0,0,0,0,37
 , ,GRADO EN CIENCIAS AMBIENTALES,155,Hombre,33,24,12,11,2,1,2,1,2,2,0,1,1,0,4,96
 , ,GRADO EN CIENCIAS AMBIENTALES, ,Mujer,35,9,7,5,1,2,0,0,0,0,0,0,0,0,0,59
 , ,GRADO EN ESTADÍSTICA,63,Hombre,21,10,7,0,1,0,2,0,0,1,1,0,1,1,0,45
 , ,GRADO EN ESTADÍSTICA, ,Mujer,7,6,4,0,0,0,0,1,0,0,0,0,0,0,0,18
 , ,GRADO EN FÍSICA,102,Hombre,47,11,7,1,4,0,3,0,1,0,0,0,0,1,1,76
 , ,GRADO EN FÍSICA, ,Mujer,16,9,0,1,0,0,0,0,0,0,0,0,0,0,0,26
 , ,GRADO EN GEOLOGÍA,74,Hombre,26,6,8,2,2,3,3,1,0,0,0,1,0,0,0,52
 , ,GRADO EN GEOLOGÍA, ,Mujer,10,6,3,0,1,0,0,0,0,0,0,0,1,1,0,22
 , ,GRADO EN INGENIERÍA QUÍMICA,126,Hombre,47,11,6,3,1,0,1,0,0,0,0,0,0,0,1,70
 , ,GRADO EN INGENIERÍA QUÍMICA, ,Mujer,41,12,1,0,1,0,0,0,0,0,0,0,1,0,0,56
 , ,GRADO EN MATEMÁTICAS,121,Hombre,52,6,3,3,1,2,0,0,0,1,0,0,0,0,2,70
 , ,GRADO EN MATEMÁTICAS, ,Mujer,43,2,1,3,2,0,0,0,0,0,0,0,0,0,0,51
 , ,GRADO EN QUÍMICA,93,Hombre,30,9,4,0,1,0,0,0,0,0,0,1,0,0,0,45
 , ,GRADO EN QUÍMICA, ,Mujer,33,9,3,1,1,0,0,0,0,1,0,0,0,0,0,48
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA,131,Hombre,15,6,7,4,3,1,2,1,1,0,0,0,1,1,1,43
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA, ,Mujer,56,13,7,2,4,1,1,0,1,0,0,0,2,1,0,88
 , ,INGENIERO EN ELECTRÓNICA,95,Hombre,0,0,0,4,4,5,12,15,3,3,4,1,15,4,11,81
 , ,INGENIERO EN ELECTRÓNICA, ,Mujer,0,0,0,0,1,1,3,5,0,1,0,0,3,0,0,14
 , ,INGENIERO QUÍMICO,494,Hombre,0,19,26,32,35,22,29,23,15,14,15,4,27,6,4,271
 , ,INGENIERO QUÍMICO, ,Mujer,0,25,28,24,22,26,25,19,14,16,10,3,8,2,1,223
 , ,LICENCIADO EN BIOLOGÍA,1040,Hombre,0,42,61,44,55,52,35,31,22,16,13,12,25,6,4,418
 , ,LICENCIADO EN BIOLOGÍA, ,Mujer,0,70,82,84,85,80,54,36,38,19,16,19,27,8,4,622
