CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
Universidad de Granada,56813,, ,Hombre,2100,2594,3030,3389,3030,2543,1964,1488,1110,790,596,507,1422,581,724,25868
, ,, ,, ,, ,, ,, ,, ,, ,, ,, , 
FAC. BELLAS ARTES,1402,GRADO EN BELLAS ARTES,465,Hombre,20,32,21,20,19,11,11,5,5,6,2,0,6,4,13,175
 , ,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,100,Hombre,3,4,2,2,1,1,1,0,2,0,0,0,4,1,3,24
 , ,LICENCIADO EN BELLAS ARTES,837,Hombre,0,2,25,58,46,50,45,22,17,14,11,5,36,7,18,356
FAC. CIENCIAS,5528,DIPLOMADO EN ESTADÍSTICA,51,Hombre,0,0,3,0,2,3,0,1,1,2,1,3,2,3,2,23
 , ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,249,Hombre,0,0,8,11,12,10,5,7,3,5,3,4,7,4,3,82
 , ,GRADO EN BIOLOGÍA,510,Hombre,71,77,31,16,13,10,6,7,3,2,2,1,1,1,1,242
 , ,GRADO EN BIOQUÍMICA,89,Hombre,11,18,1,1,0,0,0,1,0,0,0,0,0,0,0,32
 , ,GRADO EN CIENCIAS AMBIENTALES,268,Hombre,34,37,31,18,13,6,5,3,1,4,3,1,3,2,2,163
 , ,GRADO EN ESTADÍSTICA,85,Hombre,9,22,10,7,0,3,0,1,1,0,0,0,1,2,1,57
 , ,GRADO EN FÍSICA,184,Hombre,47,45,19,9,1,7,2,2,0,2,3,0,1,0,1,139
 , ,GRADO EN GEOLOGÍA,112,Hombre,20,23,8,6,2,4,2,5,1,0,1,0,1,0,0,73
 , ,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,68,Hombre,29,15,1,1,2,3,1,1,1,1,1,0,1,0,1,58
 , ,GRADO EN INGENIERÍA QUÍMICA,212,Hombre,54,42,12,5,4,2,2,1,0,2,0,0,1,1,0,126
 , ,GRADO EN MATEMÁTICAS,197,Hombre,41,42,8,1,3,0,2,1,0,1,1,0,0,1,1,102
 , ,GRADO EN QUÍMICA,176,Hombre,28,33,11,6,0,7,0,0,0,1,0,0,2,0,0,88
 , ,GRADO EN ÓPTICA Y OPTOMETRÍA,249,Hombre,16,21,8,9,7,5,2,3,1,2,1,1,3,0,0,79
 , ,INGENIERO EN ELECTRÓNICA,109,Hombre,0,0,0,1,8,9,10,14,13,2,4,1,16,7,11,96
 , ,INGENIERO QUÍMICO,436,Hombre,0,0,14,30,30,34,19,21,18,11,10,14,24,5,4,234
 , ,LICENCIADO EN BIOLOGÍA,837,Hombre,0,1,38,54,39,40,35,26,20,18,10,10,23,8,4,326
 , ,LICENCIADO EN BIOQUÍMICA,81,Hombre,0,0,0,8,6,7,3,2,1,2,0,0,5,1,0,35
 , ,LICENCIADO EN CIENCIAS AMBIENTALES,583,Hombre,0,0,28,49,46,40,35,37,20,14,19,6,12,4,9,319
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,47,Hombre,0,0,0,0,5,1,5,2,2,1,2,3,2,1,0,24
 , ,LICENCIADO EN FÍSICA,321,Hombre,0,0,23,21,35,31,20,19,15,10,14,5,27,12,4,236
 , ,LICENCIADO EN GEOLOGÍA,139,Hombre,0,0,5,13,13,11,8,5,8,4,5,5,11,4,2,94
 , ,LICENCIADO EN MATEMÁTICAS,243,Hombre,0,1,17,30,31,19,8,7,11,8,2,6,6,1,5,152
 , ,LICENCIADO EN QUÍMICA,282,Hombre,0,0,7,19,11,12,8,13,9,6,8,9,21,6,4,133
FAC. CC. ACTV.FISICA Y DEPORTE,1378,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,361,Hombre,81,87,25,25,32,8,7,4,2,0,1,1,4,5,3,285
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,1017,Hombre,1,9,114,171,177,119,78,38,38,22,16,19,33,9,3,847
FAC. CC. EDUCACION,5512,DIPLOMADO EN EDUCACIÓN SOCIAL,106,Hombre,0,0,5,2,1,3,3,0,0,1,0,1,3,0,1,20
